Condition	Selection	region	mean_tail_length	median_tail_length
Red1DEL-FTP_RNAIP	IP	SPAC959.04c	15.65	15.65
Red1DEL-FTP_RNAIP	IP	SPAC959.07	18.4636363636364	16.53
Red1DEL-FTP_RNAIP	IP	SPAC959.08	25.0025	21.585
Red1DEL-FTP_RNAIP	IP	SPAC959.09c	24.51	25.75
Red1DEL-FTP_RNAIP	IP	SPAC959.10	37.8818181818182	37.48
Red1DEL-FTP_RNAIP	IP	SPAC959.11	15.65	15.65
Red1DEL-FTP_RNAIP	IP	SPAC977.01	23.2175	24.745
Red1DEL-FTP_RNAIP	IP	SPAC977.02	28.86	29.32
Red1DEL-FTP_RNAIP	IP	SPAC977.09c	23.815	23.815
Red1DEL-FTP_RNAIP	IP	SPAC977.10	74.754	38.55
Red1DEL-FTP_RNAIP	IP	SPAC977.11	41.77	33.32
Red1DEL-FTP_RNAIP	IP	SPAC977.12	23.7266666666667	23.02
Red1DEL-FTP_RNAIP	IP	SPAC977.14c	22.5858064516129	20.12
Red1DEL-FTP_RNAIP	IP	SPAC977.18	28.1861538461538	25.635
Red1DEL-FTP_RNAIP	IP	SPAC9E9.01	70.5738461538461	56.61
Red1DEL-FTP_RNAIP	IP	SPAC9E9.02	12.24	12.24
Red1DEL-FTP_RNAIP	IP	SPAC9E9.03	21.56375	18.975
Red1DEL-FTP_RNAIP	IP	SPAC9E9.04	42.7547126436782	37.69
Red1DEL-FTP_RNAIP	IP	SPAC9E9.06c	24.2657142857143	17.075
Red1DEL-FTP_RNAIP	IP	SPAC9E9.07c	23.834	18.78
Red1DEL-FTP_RNAIP	IP	SPAC9E9.08	22.3766666666667	23.72
Red1DEL-FTP_RNAIP	IP	SPAC9E9.09c	18.768064516129	18.04
